Site,Country,Climate,CompleteYears,MeanAnnualRain_mm,SDAnnualRain_mm,MeanAnnualET0_mm,MeanTemperature_C,MeanRain_ET0_ratio
Cotonou,Benin,Humid tropical/coastal,42,1309.300238095238,205.7449707945713,1375.5668145479895,26.38698845080363,0.955712547566052
Niamey,Niger,Hot semi-arid,42,531.129761904762,100.62740756672835,2620.7060873943165,28.686790209204425,0.2035701607516478
Tunis,Tunisia,Mediterranean,42,501.6114285714286,132.8604208085373,1500.5490966697896,18.949050235439636,0.33687577345328357
