MinTemp,MaxTemp,Precipitation,ReferenceET,Date
17.82,31.29,0.33,,1981-06-08
18.0,33.12,0.0,,1981-06-09
18.46,35.32,0.0,,1981-06-10
20.69,34.54,0.0,,1981-06-11
19.43,30.53,0.0,,1981-06-12
19.7,30.9,0.01,,1981-06-13
19.59,30.53,0.0,,1981-06-14
19.43,32.53,0.0,,1981-06-15
21.08,34.45,0.0,,1981-06-16
21.29,34.25,0.0,,1981-06-17
19.45,29.32,0.0,,1981-06-18
17.38,26.6,0.0,,1981-06-19
17.22,27.6,0.11,,1981-06-20
16.61,27.93,0.0,,1981-06-21
16.5,27.47,0.0,,1981-06-22
17.51,26.2,0.02,,1981-06-23
18.54,25.97,0.18,,1981-06-24
17.84,26.13,0.79,,1981-06-25
19.11,26.12,0.19,,1981-06-26
17.29,31.83,0.66,,1981-06-27
21.63,34.75,0.71,,1981-06-28
20.21,28.0,0.0,,1981-06-29
20.03,29.91,0.01,,1981-06-30
19.86,30.97,0.0,,1981-07-01
20.73,40.3,0.57,,1981-07-02
22.11,32.25,0.01,,1981-07-03
19.81,28.37,0.0,,1981-07-04
18.55,27.4,0.0,,1981-07-05
18.77,28.44,0.0,,1981-07-06
18.46,30.89,0.0,,1981-07-07
19.63,31.95,0.0,,1981-07-08
22.46,34.3,0.06,,1981-07-09
21.05,31.19,0.18,,1981-07-10
20.82,29.0,0.02,,1981-07-11
20.92,29.23,0.11,,1981-07-12
20.46,28.87,0.0,,1981-07-13
20.32,28.25,0.02,,1981-07-14
20.47,29.52,0.39,,1981-07-15
18.89,30.99,0.0,,1981-07-16
19.19,35.45,0.07,,1981-07-17
21.69,40.61,0.0,,1981-07-18
20.56,26.4,0.0,,1981-07-19
20.1,26.03,0.03,,1981-07-20
20.07,27.96,0.12,,1981-07-21
19.24,34.04,0.0,,1981-07-22
21.34,38.85,0.0,,1981-07-23
23.35,39.43,0.0,,1981-07-24
20.79,28.23,0.0,,1981-07-25
20.41,26.77,0.0,,1981-07-26
19.96,27.52,0.0,,1981-07-27
19.75,28.04,0.44,,1981-07-28
19.55,30.66,0.0,,1981-07-29
19.97,34.61,0.0,,1981-07-30
20.6,35.64,0.0,,1981-07-31
20.96,35.69,0.0,,1981-08-01
20.48,35.11,0.0,,1981-08-02
19.97,34.24,0.0,,1981-08-03
21.52,35.45,0.01,,1981-08-04
21.25,35.57,0.01,,1981-08-05
22.99,38.84,0.02,,1981-08-06
23.97,38.42,0.0,,1981-08-07
24.83,39.8,0.0,,1981-08-08
24.85,36.43,0.12,,1981-08-09
22.77,36.56,0.0,,1981-08-10
22.82,32.09,0.19,,1981-08-11
22.39,31.84,0.38,,1981-08-12
21.72,32.08,1.71,,1981-08-13
20.5,29.54,0.17,,1981-08-14
20.21,30.84,0.01,,1981-08-15
20.86,31.17,0.0,,1981-08-16
19.61,31.99,0.0,,1981-08-17
20.94,28.41,0.32,,1981-08-18
20.91,31.58,0.0,,1981-08-19
19.8,35.5,0.01,,1981-08-20
21.54,32.54,0.03,,1981-08-21
22.51,32.21,0.09,,1981-08-22
22.04,29.79,0.21,,1981-08-23
22.31,29.3,1.2,,1981-08-24
21.09,28.79,0.06,,1981-08-25
20.54,27.67,0.01,,1981-08-26
19.18,28.32,0.0,,1981-08-27
18.66,30.22,0.0,,1981-08-28
17.88,33.06,0.0,,1981-08-29
20.58,36.84,0.0,,1981-08-30
22.43,34.21,0.77,,1981-08-31
21.55,36.68,0.27,,1981-09-01
22.87,32.05,0.03,,1981-09-02
22.08,29.98,0.77,,1981-09-03
20.64,30.88,3.07,,1981-09-04
20.02,28.72,0.01,,1981-09-05
20.16,28.17,1.76,,1981-09-06
19.83,27.49,1.42,,1981-09-07
19.78,28.63,0.0,,1981-09-08
18.85,31.33,0.0,,1981-09-09
19.75,37.52,0.01,,1981-09-10
21.81,32.14,0.01,,1981-09-11
20.12,33.32,0.0,,1981-09-12
21.47,33.14,0.09,,1981-09-13
20.97,31.63,0.01,,1981-09-14
20.74,29.78,0.0,,1981-09-15
20.18,29.76,0.0,,1981-09-16
18.7,31.75,0.0,,1981-09-17
19.59,33.68,1.97,,1981-09-18
22.37,32.85,2.48,,1981-09-19
19.57,33.51,0.04,,1981-09-20
22.44,33.09,0.03,,1981-09-21
22.35,32.67,0.54,,1981-09-22
21.77,36.39,0.03,,1981-09-23
21.97,29.19,2.29,,1981-09-24
20.57,26.5,6.42,,1981-09-25
19.91,32.1,0.11,,1981-09-26
20.99,27.09,0.79,,1981-09-27
19.1,26.17,0.69,,1981-09-28
18.21,25.15,0.51,,1981-09-29
18.22,25.92,0.06,,1981-09-30
14.97,30.51,0.0,,1981-10-01
19.56,28.08,3.18,,1981-10-02
18.14,29.82,0.0,,1981-10-03
16.82,31.55,0.0,,1981-10-04
18.0,35.52,0.0,,1981-10-05
19.31,33.8,0.0,,1981-10-06
17.76,34.3,0.0,,1981-10-07
17.74,30.2,0.0,,1981-10-08
18.34,34.58,0.0,,1981-10-09
19.81,29.92,0.0,,1981-10-10
19.26,27.35,0.0,,1981-10-11
19.42,28.64,0.0,,1981-10-12
18.82,29.7,0.0,,1981-10-13
18.19,27.98,0.0,,1981-10-14
17.1,31.33,0.0,,1981-10-15
18.24,32.36,0.0,,1981-10-16
18.95,30.47,0.0,,1981-10-17
17.53,30.53,0.05,,1981-10-18
17.32,26.49,1.16,,1981-10-19
18.62,26.9,3.27,,1981-10-20
17.38,27.16,1.42,,1981-10-21
18.13,26.02,4.17,,1981-10-22
17.39,24.43,8.32,,1981-10-23
14.66,21.46,0.05,,1981-10-24
14.72,19.71,7.62,,1981-10-25
11.2,24.05,1.75,,1981-10-26
12.95,19.71,0.34,,1981-10-27
14.88,22.57,0.04,,1981-10-28
12.7,23.95,0.0,,1981-10-29
13.51,25.2,0.0,,1981-10-30
14.36,22.7,0.16,,1981-10-31
16.59,22.38,2.27,,1981-11-01
16.19,23.64,0.0,,1981-11-02
13.4,24.8,0.0,,1981-11-03
14.97,23.46,0.0,,1981-11-04
14.31,22.89,0.0,,1981-11-05
12.73,23.12,0.0,,1981-11-06
14.39,21.59,0.34,,1981-11-07
14.25,19.93,1.95,,1981-11-08
12.34,17.3,0.05,,1981-11-09
10.79,19.46,0.24,,1981-11-10
9.27,16.53,0.95,,1981-11-11
8.29,19.04,0.04,,1981-11-12
13.17,19.96,0.08,,1981-11-13
13.41,17.97,0.57,,1981-11-14
12.47,18.27,0.49,,1981-11-15
13.19,18.19,0.16,,1981-11-16
12.43,18.44,0.02,,1981-11-17
10.66,16.83,0.0,,1981-11-18
9.23,19.1,0.0,,1981-11-19
9.65,20.16,0.0,,1981-11-20
11.28,20.46,0.0,,1981-11-21
11.67,19.69,0.07,,1981-11-22
10.12,20.5,0.01,,1981-11-23
9.96,20.33,0.04,,1981-11-24
12.25,19.71,2.34,,1981-11-25
12.47,17.64,4.11,,1981-11-26
10.07,17.19,0.0,,1981-11-27
11.05,19.26,2.29,,1981-11-28
12.55,15.67,2.38,,1981-11-29
10.79,16.49,3.75,,1981-11-30
12.25,18.8,1.21,,1981-12-01
10.99,15.78,0.97,,1981-12-02
10.23,12.1,15.24,,1981-12-03
8.97,13.76,1.09,,1981-12-04
11.43,16.2,2.98,,1981-12-05
9.45,16.29,0.15,,1981-12-06
6.83,19.36,0.0,,1981-12-07
8.95,17.8,0.17,,1981-12-08
7.64,18.08,0.04,,1981-12-09
10.59,18.43,0.02,,1981-12-10
11.09,20.28,0.12,,1981-12-11
12.5,19.54,0.01,,1981-12-12
13.21,20.74,0.3,,1981-12-13
14.02,19.77,0.86,,1981-12-14
13.15,18.71,0.17,,1981-12-15
12.16,20.86,0.03,,1981-12-16
13.65,20.09,0.47,,1981-12-17
10.72,20.14,0.49,,1981-12-18
9.45,16.31,4.86,,1981-12-19
6.85,12.92,1.19,,1981-12-20
5.57,13.52,0.04,,1981-12-21
8.7,15.72,11.1,,1981-12-22
11.08,15.67,2.87,,1981-12-23
10.17,17.81,0.75,,1981-12-24
10.72,14.72,0.3,,1981-12-25
9.01,14.58,0.47,,1981-12-26
6.59,17.32,0.17,,1981-12-27
8.79,18.58,0.01,,1981-12-28
10.03,21.09,0.0,,1981-12-29
10.77,21.09,0.0,,1981-12-30
9.38,23.79,0.0,,1981-12-31
11.66,17.53,0.0,,1982-01-01
9.83,17.19,0.0,,1982-01-02
8.29,16.53,0.0,,1982-01-03
5.88,19.95,0.0,,1982-01-04
9.28,17.6,0.0,,1982-01-05
10.77,18.18,0.0,,1982-01-06
11.06,19.77,0.0,,1982-01-07
11.53,21.02,0.0,,1982-01-08
9.67,22.87,0.0,,1982-01-09
10.41,20.69,0.0,,1982-01-10
8.78,21.12,0.0,,1982-01-11
7.39,18.95,0.0,,1982-01-12
8.38,24.34,0.0,,1982-01-13
10.92,19.68,0.08,,1982-01-14
12.44,17.14,8.11,,1982-01-15
9.91,15.6,15.56,,1982-01-16
9.83,16.35,1.39,,1982-01-17
13.13,15.66,7.48,,1982-01-18
11.64,13.66,32.75,,1982-01-19
9.59,15.97,12.8,,1982-01-20
9.26,13.96,3.16,,1982-01-21
9.6,13.34,3.07,,1982-01-22
9.85,12.84,7.26,,1982-01-23
8.99,13.21,6.08,,1982-01-24
9.01,12.2,7.7,,1982-01-25
8.6,13.16,7.18,,1982-01-26
8.37,14.15,8.43,,1982-01-27
8.68,12.75,12.17,,1982-01-28
10.87,14.5,1.92,,1982-01-29
11.66,15.94,4.15,,1982-01-30
11.92,15.44,0.69,,1982-01-31
12.24,15.8,1.08,,1982-02-01
9.11,15.91,1.66,,1982-02-02
8.4,14.83,0.57,,1982-02-03
8.66,16.62,0.3,,1982-02-04
8.62,16.72,1.76,,1982-02-05
8.1,16.06,0.15,,1982-02-06
7.45,17.44,0.0,,1982-02-07
7.8,18.28,0.0,,1982-02-08
8.5,16.78,0.37,,1982-02-09
8.61,16.15,0.32,,1982-02-10
8.35,15.26,0.02,,1982-02-11
6.76,17.48,0.05,,1982-02-12
7.79,18.08,0.04,,1982-02-13
9.31,16.61,1.47,,1982-02-14
9.15,18.39,1.11,,1982-02-15
9.73,19.46,0.2,,1982-02-16
9.53,13.77,7.75,,1982-02-17
7.41,16.86,2.54,,1982-02-18
9.2,16.36,2.08,,1982-02-19
8.68,15.68,3.1,,1982-02-20
10.25,14.93,10.18,,1982-02-21
8.88,13.22,4.72,,1982-02-22
8.34,15.07,1.44,,1982-02-23
8.96,11.54,8.78,,1982-02-24
7.92,13.98,0.68,,1982-02-25
7.71,12.83,3.57,,1982-02-26
8.73,13.43,1.1,,1982-02-27
7.48,15.15,0.0,,1982-02-28
6.81,17.33,0.17,,1982-03-01
9.96,19.57,0.16,,1982-03-02
8.9,15.87,0.1,,1982-03-03
7.51,20.05,0.01,,1982-03-04
9.18,13.9,2.54,,1982-03-05
9.07,14.26,8.43,,1982-03-06
7.8,12.97,1.34,,1982-03-07
5.19,16.03,0.57,,1982-03-08
6.61,14.62,0.2,,1982-03-09
7.09,17.07,0.06,,1982-03-10
6.58,17.75,0.0,,1982-03-11
8.43,17.28,0.0,,1982-03-12
5.93,17.53,0.0,,1982-03-13
