MinTemp,MaxTemp,Precipitation,ReferenceET,Date
25.26,27.83,12.18,,1981-06-08
25.03,27.8,9.7,,1981-06-09
24.42,27.93,18.85,,1981-06-10
24.02,28.71,7.52,,1981-06-11
24.68,27.89,7.04,,1981-06-12
24.54,28.99,10.28,,1981-06-13
25.0,27.38,6.89,,1981-06-14
24.37,28.46,4.97,,1981-06-15
24.13,28.93,4.75,,1981-06-16
24.86,28.86,6.53,,1981-06-17
25.09,27.55,14.89,,1981-06-18
24.65,27.85,21.0,,1981-06-19
24.37,27.39,29.63,,1981-06-20
24.04,27.79,29.02,,1981-06-21
23.85,28.16,29.04,,1981-06-22
24.17,26.99,15.63,,1981-06-23
23.97,27.36,9.39,,1981-06-24
23.42,27.45,7.95,,1981-06-25
23.72,28.02,9.91,,1981-06-26
24.28,27.67,22.66,,1981-06-27
24.11,27.06,18.7,,1981-06-28
23.54,27.5,12.5,,1981-06-29
23.61,27.85,1.07,,1981-06-30
23.82,27.0,1.61,,1981-07-01
23.8,27.7,0.28,,1981-07-02
23.85,28.11,1.22,,1981-07-03
24.18,27.64,1.9,,1981-07-04
24.15,27.17,10.79,,1981-07-05
24.25,26.85,7.18,,1981-07-06
23.72,26.63,7.46,,1981-07-07
22.8,25.68,10.46,,1981-07-08
22.51,26.9,2.74,,1981-07-09
23.34,27.01,4.46,,1981-07-10
23.5,27.23,1.04,,1981-07-11
23.49,27.78,0.85,,1981-07-12
23.23,25.85,1.98,,1981-07-13
23.2,27.25,2.35,,1981-07-14
23.05,27.91,0.68,,1981-07-15
23.03,27.42,0.38,,1981-07-16
23.4,27.47,0.8,,1981-07-17
23.23,27.62,0.32,,1981-07-18
22.92,27.63,0.15,,1981-07-19
23.24,25.5,0.53,,1981-07-20
23.02,27.57,0.22,,1981-07-21
23.19,27.6,1.03,,1981-07-22
23.02,27.44,0.75,,1981-07-23
23.06,26.95,0.13,,1981-07-24
22.75,27.19,1.73,,1981-07-25
22.47,26.3,5.75,,1981-07-26
22.16,27.13,3.58,,1981-07-27
22.55,26.9,1.26,,1981-07-28
22.93,27.23,2.44,,1981-07-29
22.67,27.12,1.23,,1981-07-30
22.5,26.68,4.32,,1981-07-31
22.32,25.83,4.34,,1981-08-01
22.76,27.16,3.61,,1981-08-02
22.81,26.98,1.52,,1981-08-03
22.74,27.34,1.72,,1981-08-04
22.93,25.48,2.49,,1981-08-05
22.36,27.27,1.51,,1981-08-06
22.01,27.76,1.49,,1981-08-07
22.63,27.6,0.66,,1981-08-08
22.96,27.64,0.0,,1981-08-09
22.97,28.02,0.02,,1981-08-10
22.56,27.63,0.0,,1981-08-11
22.75,27.92,0.02,,1981-08-12
22.96,27.49,0.01,,1981-08-13
22.55,27.3,2.92,,1981-08-14
22.69,26.68,11.26,,1981-08-15
22.67,27.12,8.56,,1981-08-16
23.01,25.25,9.41,,1981-08-17
22.77,25.08,11.54,,1981-08-18
22.45,26.1,4.06,,1981-08-19
21.74,27.24,0.73,,1981-08-20
21.74,27.11,2.06,,1981-08-21
22.53,27.32,3.09,,1981-08-22
22.52,25.96,2.21,,1981-08-23
22.58,25.88,5.13,,1981-08-24
22.63,27.02,3.24,,1981-08-25
22.51,27.49,0.83,,1981-08-26
22.13,26.93,2.37,,1981-08-27
22.71,26.35,5.5,,1981-08-28
22.08,27.66,0.17,,1981-08-29
22.25,27.38,1.02,,1981-08-30
22.25,27.41,0.97,,1981-08-31
22.93,27.6,0.31,,1981-09-01
22.48,27.91,0.15,,1981-09-02
22.96,27.41,12.15,,1981-09-03
23.02,25.48,15.25,,1981-09-04
22.46,27.09,14.21,,1981-09-05
22.68,27.11,16.66,,1981-09-06
23.08,26.17,23.66,,1981-09-07
22.53,25.49,17.63,,1981-09-08
22.06,26.48,21.98,,1981-09-09
22.94,26.94,2.13,,1981-09-10
22.6,27.43,6.63,,1981-09-11
23.05,27.47,1.21,,1981-09-12
22.99,27.29,3.24,,1981-09-13
23.1,26.63,7.3,,1981-09-14
23.0,26.2,2.69,,1981-09-15
22.51,27.99,2.3,,1981-09-16
22.64,28.13,2.97,,1981-09-17
23.22,27.38,9.82,,1981-09-18
23.42,27.46,19.57,,1981-09-19
23.4,26.68,10.78,,1981-09-20
23.23,27.82,5.92,,1981-09-21
23.4,27.88,15.75,,1981-09-22
23.78,27.72,2.2,,1981-09-23
23.41,28.15,2.76,,1981-09-24
23.46,28.22,4.52,,1981-09-25
22.91,28.1,1.88,,1981-09-26
23.58,27.88,1.09,,1981-09-27
23.62,29.08,0.28,,1981-09-28
23.58,28.83,0.22,,1981-09-29
23.88,28.69,0.45,,1981-09-30
23.65,28.58,1.08,,1981-10-01
23.77,27.98,0.33,,1981-10-02
23.89,28.06,8.46,,1981-10-03
24.2,28.29,6.61,,1981-10-04
24.01,28.48,15.08,,1981-10-05
24.03,28.6,12.53,,1981-10-06
24.17,26.39,10.4,,1981-10-07
23.99,27.3,3.81,,1981-10-08
23.95,28.33,3.79,,1981-10-09
23.89,28.02,1.59,,1981-10-10
24.26,26.85,3.63,,1981-10-11
23.88,27.9,5.28,,1981-10-12
23.81,28.24,21.39,,1981-10-13
23.99,27.51,10.2,,1981-10-14
23.82,27.66,13.67,,1981-10-15
23.73,26.65,12.94,,1981-10-16
23.66,27.9,8.04,,1981-10-17
24.03,28.19,0.65,,1981-10-18
24.01,28.49,0.48,,1981-10-19
24.4,28.65,0.73,,1981-10-20
24.37,28.74,0.87,,1981-10-21
24.05,29.14,0.42,,1981-10-22
24.16,28.34,7.27,,1981-10-23
24.27,27.19,10.51,,1981-10-24
24.15,27.81,8.15,,1981-10-25
23.59,28.38,9.21,,1981-10-26
23.7,28.89,3.98,,1981-10-27
24.33,28.73,3.28,,1981-10-28
24.87,28.02,4.94,,1981-10-29
24.64,27.96,5.81,,1981-10-30
24.43,27.09,7.18,,1981-10-31
24.34,29.46,1.77,,1981-11-01
24.63,28.89,0.4,,1981-11-02
24.6,27.65,0.26,,1981-11-03
24.6,28.11,0.57,,1981-11-04
24.36,29.7,0.33,,1981-11-05
24.36,28.12,0.53,,1981-11-06
24.4,29.03,0.02,,1981-11-07
24.72,28.53,0.04,,1981-11-08
24.6,29.01,0.05,,1981-11-09
24.9,28.45,0.05,,1981-11-10
24.68,29.72,0.03,,1981-11-11
24.78,28.87,0.12,,1981-11-12
24.61,29.19,0.15,,1981-11-13
24.6,29.42,0.29,,1981-11-14
24.97,29.29,0.28,,1981-11-15
24.54,29.59,0.28,,1981-11-16
24.63,30.07,0.49,,1981-11-17
23.39,30.29,0.68,,1981-11-18
24.41,30.4,0.67,,1981-11-19
24.21,29.72,1.15,,1981-11-20
22.59,29.84,0.29,,1981-11-21
20.49,29.23,0.0,,1981-11-22
20.44,28.85,0.0,,1981-11-23
21.07,29.07,0.0,,1981-11-24
22.14,29.59,0.0,,1981-11-25
22.69,29.78,0.0,,1981-11-26
24.55,30.49,0.11,,1981-11-27
24.41,30.16,0.25,,1981-11-28
24.61,29.81,0.06,,1981-11-29
23.96,30.13,0.13,,1981-11-30
23.29,30.05,0.03,,1981-12-01
23.21,30.25,0.02,,1981-12-02
21.73,29.85,0.03,,1981-12-03
22.38,29.69,0.05,,1981-12-04
24.18,29.87,0.13,,1981-12-05
22.8,29.81,0.14,,1981-12-06
24.3,29.79,0.0,,1981-12-07
24.79,29.59,0.0,,1981-12-08
24.47,29.63,0.0,,1981-12-09
24.5,30.08,0.0,,1981-12-10
24.36,30.68,0.0,,1981-12-11
24.34,30.37,0.0,,1981-12-12
24.67,30.29,0.0,,1981-12-13
24.52,30.35,0.0,,1981-12-14
24.4,30.39,0.0,,1981-12-15
24.87,30.08,0.0,,1981-12-16
24.93,30.28,0.04,,1981-12-17
24.97,30.74,0.05,,1981-12-18
24.45,30.69,0.03,,1981-12-19
24.67,30.34,0.01,,1981-12-20
24.56,30.45,0.01,,1981-12-21
24.0,30.36,0.0,,1981-12-22
24.31,30.78,0.0,,1981-12-23
24.59,30.97,0.0,,1981-12-24
24.93,30.03,0.0,,1981-12-25
24.64,30.15,0.0,,1981-12-26
24.53,30.09,0.0,,1981-12-27
24.74,30.07,0.0,,1981-12-28
24.83,29.96,0.0,,1981-12-29
24.7,30.82,0.0,,1981-12-30
24.52,30.75,0.0,,1981-12-31
24.71,31.18,0.1,,1982-01-01
24.67,30.64,0.11,,1982-01-02
24.37,30.83,0.15,,1982-01-03
24.63,30.16,0.16,,1982-01-04
23.77,30.44,0.02,,1982-01-05
20.78,29.48,0.0,,1982-01-06
19.88,29.23,0.0,,1982-01-07
21.14,29.49,0.0,,1982-01-08
21.16,30.15,0.0,,1982-01-09
21.25,30.08,0.0,,1982-01-10
22.09,30.1,0.0,,1982-01-11
23.41,29.89,0.0,,1982-01-12
24.14,30.49,0.0,,1982-01-13
23.99,31.4,0.0,,1982-01-14
24.55,31.06,0.0,,1982-01-15
24.45,31.0,8.35,,1982-01-16
24.68,29.84,4.27,,1982-01-17
24.95,29.68,5.86,,1982-01-18
25.05,28.33,5.37,,1982-01-19
24.63,29.02,8.7,,1982-01-20
24.62,28.95,0.0,,1982-01-21
24.25,27.43,0.0,,1982-01-22
22.52,29.72,0.0,,1982-01-23
22.32,30.08,0.0,,1982-01-24
22.19,30.63,0.0,,1982-01-25
24.24,31.13,0.0,,1982-01-26
24.31,31.39,0.0,,1982-01-27
24.8,30.1,0.0,,1982-01-28
24.83,28.94,0.0,,1982-01-29
24.48,30.62,0.0,,1982-01-30
24.47,29.7,0.0,,1982-01-31
24.15,30.82,0.0,,1982-02-01
24.89,31.29,0.0,,1982-02-02
24.25,30.53,0.0,,1982-02-03
23.89,30.44,0.0,,1982-02-04
24.24,31.12,0.0,,1982-02-05
24.22,31.36,0.0,,1982-02-06
24.78,29.62,0.0,,1982-02-07
22.47,29.46,0.0,,1982-02-08
20.4,29.55,0.0,,1982-02-09
20.03,29.88,0.0,,1982-02-10
22.3,30.76,0.0,,1982-02-11
22.68,30.34,0.0,,1982-02-12
23.05,30.42,0.0,,1982-02-13
23.64,30.3,0.0,,1982-02-14
23.67,28.89,47.69,,1982-02-15
24.31,28.87,42.93,,1982-02-16
24.25,28.79,32.62,,1982-02-17
24.15,30.13,50.41,,1982-02-18
24.98,30.04,69.05,,1982-02-19
25.31,28.15,1.45,,1982-02-20
24.98,28.55,0.34,,1982-02-21
24.83,28.91,0.45,,1982-02-22
24.65,27.97,0.62,,1982-02-23
23.7,25.91,0.9,,1982-02-24
23.43,27.96,0.02,,1982-02-25
24.11,27.8,0.05,,1982-02-26
24.46,27.85,0.0,,1982-02-27
25.0,28.42,0.01,,1982-02-28
25.28,28.44,0.01,,1982-03-01
24.73,30.04,11.88,,1982-03-02
23.98,29.11,26.57,,1982-03-03
21.46,29.47,2.6,,1982-03-04
21.29,30.1,0.0,,1982-03-05
23.5,30.55,0.0,,1982-03-06
23.67,29.8,0.0,,1982-03-07
24.43,30.76,0.01,,1982-03-08
24.36,31.04,0.01,,1982-03-09
24.94,29.45,0.03,,1982-03-10
25.5,28.62,0.06,,1982-03-11
24.31,30.06,2.37,,1982-03-12
24.68,29.77,3.56,,1982-03-13
25.08,29.93,2.52,,1982-03-14
24.99,28.86,3.41,,1982-03-15
24.75,28.74,3.72,,1982-03-16
24.6,28.51,9.85,,1982-03-17
24.24,28.71,3.88,,1982-03-18
24.58,29.68,4.02,,1982-03-19
25.02,28.35,3.63,,1982-03-20
24.98,30.09,5.43,,1982-03-21
25.15,29.54,13.0,,1982-03-22
25.12,28.0,16.44,,1982-03-23
24.67,28.97,15.8,,1982-03-24
25.26,29.55,1.4,,1982-03-25
25.41,30.19,10.88,,1982-03-26
25.4,30.09,2.17,,1982-03-27
25.73,29.19,6.77,,1982-03-28
25.71,28.72,3.08,,1982-03-29
25.19,27.59,0.95,,1982-03-30
24.8,29.74,1.26,,1982-03-31
24.84,30.24,0.0,,1982-04-01
24.88,30.45,0.0,,1982-04-02
24.97,30.62,0.0,,1982-04-03
25.32,29.47,0.0,,1982-04-04
25.54,30.44,0.0,,1982-04-05
25.7,28.93,9.09,,1982-04-06
25.73,29.32,3.47,,1982-04-07
25.67,28.89,4.17,,1982-04-08
25.71,29.23,7.85,,1982-04-09
25.2,28.04,10.12,,1982-04-10
24.82,29.45,1.88,,1982-04-11
25.3,27.91,2.66,,1982-04-12
25.03,29.35,2.96,,1982-04-13
25.31,29.68,2.13,,1982-04-14
25.59,28.76,7.67,,1982-04-15
25.43,28.53,15.83,,1982-04-16
25.43,27.99,9.25,,1982-04-17
24.94,27.92,8.21,,1982-04-18
24.56,29.26,17.95,,1982-04-19
25.14,29.06,16.68,,1982-04-20
24.89,27.77,3.33,,1982-04-21
24.53,27.59,2.11,,1982-04-22
23.87,29.45,0.47,,1982-04-23
24.35,29.73,1.18,,1982-04-24
24.87,28.86,1.41,,1982-04-25
25.48,27.89,8.94,,1982-04-26
24.99,27.65,8.04,,1982-04-27
24.69,29.36,4.19,,1982-04-28
25.08,28.77,3.23,,1982-04-29
25.4,28.99,11.05,,1982-04-30
25.08,27.59,4.33,,1982-05-01
24.82,28.42,8.21,,1982-05-02
24.84,27.42,3.17,,1982-05-03
24.3,28.66,3.36,,1982-05-04
23.79,28.37,3.53,,1982-05-05
23.81,28.23,5.71,,1982-05-06
24.51,27.04,10.34,,1982-05-07
24.42,26.21,19.96,,1982-05-08
23.73,27.22,3.78,,1982-05-09
23.6,29.02,2.24,,1982-05-10
23.68,29.1,0.93,,1982-05-11
24.17,29.27,1.51,,1982-05-12
24.8,28.78,2.45,,1982-05-13
24.83,27.92,1.11,,1982-05-14
24.28,29.02,1.3,,1982-05-15
24.84,27.87,0.81,,1982-05-16
24.5,29.6,1.23,,1982-05-17
25.07,29.46,3.91,,1982-05-18
25.47,28.23,4.5,,1982-05-19
24.86,26.88,3.25,,1982-05-20
24.12,28.2,1.72,,1982-05-21
23.51,27.81,2.38,,1982-05-22
23.87,27.0,5.83,,1982-05-23
23.6,29.1,7.11,,1982-05-24
24.38,28.24,7.44,,1982-05-25
24.95,27.94,3.69,,1982-05-26
24.84,27.35,6.54,,1982-05-27
