MinTemp,MaxTemp,Precipitation,ReferenceET,Date
28.1,38.24,0.0,,1981-06-08
27.52,38.44,0.0,,1981-06-09
27.47,39.27,1.19,,1981-06-10
26.43,36.31,0.42,,1981-06-11
25.91,35.44,0.07,,1981-06-12
27.7,39.74,0.36,,1981-06-13
27.33,39.47,0.45,,1981-06-14
27.16,35.69,1.02,,1981-06-15
25.51,35.79,1.71,,1981-06-16
27.15,34.7,0.65,,1981-06-17
26.86,35.62,1.87,,1981-06-18
26.13,34.98,1.03,,1981-06-19
26.67,34.73,7.87,,1981-06-20
25.24,32.38,3.93,,1981-06-21
24.51,32.07,5.32,,1981-06-22
25.02,31.18,1.85,,1981-06-23
23.8,35.12,3.78,,1981-06-24
24.62,35.25,1.52,,1981-06-25
25.37,37.84,2.05,,1981-06-26
25.76,35.15,0.52,,1981-06-27
25.05,37.1,1.19,,1981-06-28
25.27,34.05,2.26,,1981-06-29
24.74,36.03,2.37,,1981-06-30
25.67,35.58,9.52,,1981-07-01
24.63,36.21,2.0,,1981-07-02
23.96,34.58,1.4,,1981-07-03
25.17,36.43,2.17,,1981-07-04
25.57,33.83,13.19,,1981-07-05
23.17,32.88,12.44,,1981-07-06
23.78,34.82,7.25,,1981-07-07
24.16,34.12,1.45,,1981-07-08
24.14,33.93,7.31,,1981-07-09
23.63,33.01,2.81,,1981-07-10
23.76,32.81,2.14,,1981-07-11
22.52,34.57,3.17,,1981-07-12
24.37,35.47,4.59,,1981-07-13
24.9,33.66,11.51,,1981-07-14
23.51,33.29,2.76,,1981-07-15
24.06,34.72,4.14,,1981-07-16
24.43,31.21,2.87,,1981-07-17
23.49,32.65,6.79,,1981-07-18
23.81,33.95,1.88,,1981-07-19
24.34,33.73,4.22,,1981-07-20
24.16,32.52,4.78,,1981-07-21
23.86,31.29,1.48,,1981-07-22
23.59,31.57,7.65,,1981-07-23
23.9,30.02,5.51,,1981-07-24
23.0,32.93,6.59,,1981-07-25
23.04,30.84,0.82,,1981-07-26
22.41,32.42,3.11,,1981-07-27
23.92,31.53,9.68,,1981-07-28
23.62,29.19,4.18,,1981-07-29
22.26,32.43,3.96,,1981-07-30
22.45,31.31,1.01,,1981-07-31
22.96,34.55,0.84,,1981-08-01
23.58,32.58,1.25,,1981-08-02
23.14,34.26,1.62,,1981-08-03
24.52,33.28,1.37,,1981-08-04
23.99,33.91,1.6,,1981-08-05
23.76,32.9,0.98,,1981-08-06
23.55,35.97,0.3,,1981-08-07
23.8,35.35,1.51,,1981-08-08
24.63,37.16,1.23,,1981-08-09
25.19,32.03,2.32,,1981-08-10
24.58,29.79,5.16,,1981-08-11
23.06,33.06,1.19,,1981-08-12
23.87,31.43,2.44,,1981-08-13
23.49,31.94,8.25,,1981-08-14
23.88,33.8,6.17,,1981-08-15
24.5,32.76,10.64,,1981-08-16
23.09,33.14,12.98,,1981-08-17
23.37,29.82,9.61,,1981-08-18
23.51,30.03,1.95,,1981-08-19
23.75,31.61,3.14,,1981-08-20
21.84,33.2,0.97,,1981-08-21
22.47,32.05,8.67,,1981-08-22
21.91,31.44,9.6,,1981-08-23
22.78,32.15,2.43,,1981-08-24
22.92,31.92,1.33,,1981-08-25
21.91,32.61,2.06,,1981-08-26
23.75,32.54,3.27,,1981-08-27
22.84,31.19,3.01,,1981-08-28
22.74,28.79,3.59,,1981-08-29
21.39,31.21,3.29,,1981-08-30
23.35,32.3,1.35,,1981-08-31
23.17,33.15,1.97,,1981-09-01
23.65,30.64,0.73,,1981-09-02
22.65,33.18,9.87,,1981-09-03
22.98,31.42,7.79,,1981-09-04
22.4,30.31,4.19,,1981-09-05
21.76,32.9,6.48,,1981-09-06
23.16,28.84,0.95,,1981-09-07
22.97,30.59,3.85,,1981-09-08
22.08,30.83,4.03,,1981-09-09
23.13,30.05,5.04,,1981-09-10
21.39,33.87,2.14,,1981-09-11
22.55,32.46,4.47,,1981-09-12
23.65,31.76,0.19,,1981-09-13
23.7,29.8,0.59,,1981-09-14
23.12,33.89,4.18,,1981-09-15
23.27,29.36,0.85,,1981-09-16
22.59,33.69,1.51,,1981-09-17
23.23,33.35,0.99,,1981-09-18
23.83,33.61,0.33,,1981-09-19
23.48,30.32,0.74,,1981-09-20
22.84,34.25,0.4,,1981-09-21
22.87,35.75,1.39,,1981-09-22
23.64,34.51,10.15,,1981-09-23
24.36,30.71,1.58,,1981-09-24
23.24,31.72,8.08,,1981-09-25
21.69,34.2,0.85,,1981-09-26
22.99,34.56,1.4,,1981-09-27
23.6,34.22,0.74,,1981-09-28
23.84,35.44,1.92,,1981-09-29
22.94,35.93,0.53,,1981-09-30
22.58,36.63,5.86,,1981-10-01
23.34,32.71,3.37,,1981-10-02
23.92,32.48,0.0,,1981-10-03
22.68,35.29,0.0,,1981-10-04
23.48,36.78,0.0,,1981-10-05
22.84,36.77,0.0,,1981-10-06
23.33,32.32,0.0,,1981-10-07
